"GEO_ID","NAME","B08006_001E","B08006_001M","B08006_002E","B08006_002M","B08006_003E","B08006_003M","B08006_004E","B08006_004M","B08006_005E","B08006_005M","B08006_006E","B08006_006M","B08006_007E","B08006_007M","B08006_008E","B08006_008M","B08006_009E","B08006_009M","B08006_010E","B08006_010M","B08006_011E","B08006_011M","B08006_012E","B08006_012M","B08006_013E","B08006_013M","B08006_014E","B08006_014M","B08006_015E","B08006_015M","B08006_016E","B08006_016M","B08006_017E","B08006_017M","B08006_018E","B08006_018M","B08006_019E","B08006_019M","B08006_020E","B08006_020M","B08006_021E","B08006_021M","B08006_022E","B08006_022M","B08006_023E","B08006_023M","B08006_024E","B08006_024M","B08006_025E","B08006_025M","B08006_026E","B08006_026M","B08006_027E","B08006_027M","B08006_028E","B08006_028M","B08006_029E","B08006_029M","B08006_030E","B08006_030M","B08006_031E","B08006_031M","B08006_032E","B08006_032M","B08006_033E","B08006_033M","B08006_034E","B08006_034M","B08006_035E","B08006_035M","B08006_036E","B08006_036M","B08006_037E","B08006_037M","B08006_038E","B08006_038M","B08006_039E","B08006_039M","B08006_040E","B08006_040M","B08006_041E","B08006_041M","B08006_042E","B08006_042M","B08006_043E","B08006_043M","B08006_044E","B08006_044M","B08006_045E","B08006_045M","B08006_046E","B08006_046M","B08006_047E","B08006_047M","B08006_048E","B08006_048M","B08006_049E","B08006_049M","B08006_050E","B08006_050M","B08006_051E","B08006_051M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Estimate!!Total:!!Public transportation:","Margin of Error!!Total:!!Public transportation:","Estimate!!Total:!!Public transportation:!!Bus","Margin of Error!!Total:!!Public transportation:!!Bus","Estimate!!Total:!!Public transportation:!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation:!!Subway or elevated rail","Estimate!!Total:!!Public transportation:!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation:!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation:!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation:!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation:!!Ferryboat","Margin of Error!!Total:!!Public transportation:!!Ferryboat","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Taxi or ride-hailing services, motorcycle, or other means","Margin of Error!!Total:!!Taxi or ride-hailing services, motorcycle, or other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Car, truck, or van:","Margin of Error!!Total:!!Male:!!Car, truck, or van:","Estimate!!Total:!!Male:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Male:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Estimate!!Total:!!Male:!!Public transportation:","Margin of Error!!Total:!!Male:!!Public transportation:","Estimate!!Total:!!Male:!!Public transportation:!!Bus","Margin of Error!!Total:!!Male:!!Public transportation:!!Bus","Estimate!!Total:!!Male:!!Public transportation:!!Subway or elevated rail","Margin of Error!!Total:!!Male:!!Public transportation:!!Subway or elevated rail","Estimate!!Total:!!Male:!!Public transportation:!!Long-distance train or commuter rail","Margin of Error!!Total:!!Male:!!Public transportation:!!Long-distance train or commuter rail","Estimate!!Total:!!Male:!!Public transportation:!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Male:!!Public transportation:!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Male:!!Public transportation:!!Ferryboat","Margin of Error!!Total:!!Male:!!Public transportation:!!Ferryboat","Estimate!!Total:!!Male:!!Bicycle","Margin of Error!!Total:!!Male:!!Bicycle","Estimate!!Total:!!Male:!!Walked","Margin of Error!!Total:!!Male:!!Walked","Estimate!!Total:!!Male:!!Taxi or ride-hailing services, motorcycle, or other means","Margin of Error!!Total:!!Male:!!Taxi or ride-hailing services, motorcycle, or other means","Estimate!!Total:!!Male:!!Worked from home","Margin of Error!!Total:!!Male:!!Worked from home","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Car, truck, or van:","Margin of Error!!Total:!!Female:!!Car, truck, or van:","Estimate!!Total:!!Female:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Female:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Estimate!!Total:!!Female:!!Public transportation:","Margin of Error!!Total:!!Female:!!Public transportation:","Estimate!!Total:!!Female:!!Public transportation:!!Bus","Margin of Error!!Total:!!Female:!!Public transportation:!!Bus","Estimate!!Total:!!Female:!!Public transportation:!!Subway or elevated rail","Margin of Error!!Total:!!Female:!!Public transportation:!!Subway or elevated rail","Estimate!!Total:!!Female:!!Public transportation:!!Long-distance train or commuter rail","Margin of Error!!Total:!!Female:!!Public transportation:!!Long-distance train or commuter rail","Estimate!!Total:!!Female:!!Public transportation:!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Female:!!Public transportation:!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Female:!!Public transportation:!!Ferryboat","Margin of Error!!Total:!!Female:!!Public transportation:!!Ferryboat","Estimate!!Total:!!Female:!!Bicycle","Margin of Error!!Total:!!Female:!!Bicycle","Estimate!!Total:!!Female:!!Walked","Margin of Error!!Total:!!Female:!!Walked","Estimate!!Total:!!Female:!!Taxi or ride-hailing services, motorcycle, or other means","Margin of Error!!Total:!!Female:!!Taxi or ride-hailing services, motorcycle, or other means","Estimate!!Total:!!Female:!!Worked from home","Margin of Error!!Total:!!Female:!!Worked from home",
"1600000US0600135","Acalanes Ridge CDP, California","436","161","205","89","205","89","0","14","0","14","0","14","0","14","14","23","0","14","14","23","0","14","0","14","0","14","0","14","52","58","6","11","159","83","192","73","93","52","93","52","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","6","11","93","61","244","107","112","73","112","73","0","14","0","14","0","14","0","14","14","23","0","14","14","23","0","14","0","14","0","14","0","14","52","58","0","14","66","48",
"1600000US0600156","Acampo CDP, California","110","126","110","126","110","126","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","42","67","42","67","42","67","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","68","105","68","105","68","105","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0600212","Acton CDP, California","3407","392","2588","373","2313","384","275","144","177","103","41","40","57","67","39","60","39","60","0","19","0","19","0","19","0","19","0","19","0","19","95","85","685","194","2050","280","1600","285","1475","294","125","76","50","39","18","25","57","67","39","60","39","60","0","19","0","19","0","19","0","19","0","19","0","19","69","74","342","128","1357","236","988","197","838","198","150","100","127","91","23","27","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","26","42","343","132",
"1600000US0600296","Adelanto city, California","12789","756","11357","761","9657","633","1700","427","873","268","480","255","347","208","64","102","64","102","0","29","0","29","0","29","0","29","0","29","57","56","288","145","1023","282","7004","600","6482","563","5457","549","1025","249","580","193","396","206","49","76","0","29","0","29","0","29","0","29","0","29","0","29","0","29","33","41","172","119","317","127","5785","562","4875","565","4200","530","675","271","293","136","84","77","298","193","64","102","64","102","0","29","0","29","0","29","0","29","0","29","24","38","116","75","706","247",
"1600000US0600310","Adin CDP, California","68","58","36","38","36","38","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","11","15","21","29","0","14","22","21","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","11","15","11","15","0","14","46","40","36","38","36","38","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","10","15","0","14",
"1600000US0600394","Agoura Hills city, California","9327","558","6286","576","6077","525","209","127","82","80","39","36","88","82","0","21","0","21","0","21","0","21","0","21","0","21","0","21","49","71","155","114","2837","474","4672","391","3190","426","3122","408","68","63","55","55","0","21","13","19","0","21","0","21","0","21","0","21","0","21","0","21","0","21","17","32","76","66","1389","303","4655","368","3096","351","2955","330","141","99","27","37","39","36","75","78","0","21","0","21","0","21","0","21","0","21","0","21","0","21","32","43","79","98","1448","288",
"1600000US0600450","Agua Dulce CDP, California","1372","246","1030","209","962","198","68","48","32","51","8","11","28","39","3","7","0","14","0","14","0","14","3","7","0","14","0","14","70","85","28","33","241","106","679","146","533","143","521","137","12","18","12","18","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","32","43","12","21","102","68","693","153","497","111","441","105","56","40","20","35","8","11","28","39","3","7","0","14","0","14","0","14","3","7","0","14","0","14","38","43","16","25","139","68",
"1600000US0600464","Aguanga CDP, California","243","150","165","131","143","113","22","34","22","34","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","6","19","0","14","72","60","209","143","137","122","115","110","22","34","22","34","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","6","19","0","14","66","58","34","32","28","29","28","29","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","6","11",
"1600000US0600478","Ahwahnee CDP, California","420","169","201","108","172","105","29","35","11","26","0","14","18","25","0","14","0","14","0","14","0","14","0","14","0","14","0","14","60","92","40","63","119","70","199","95","112","64","89","52","23","27","5","12","0","14","18","25","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","40","63","47","37","221","132","89","89","83","87","6","14","6","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","60","92","0","14","72","40",
