"GEO_ID","NAME","B08006_001E","B08006_001M","B08006_002E","B08006_002M","B08006_003E","B08006_003M","B08006_004E","B08006_004M","B08006_005E","B08006_005M","B08006_006E","B08006_006M","B08006_007E","B08006_007M","B08006_008E","B08006_008M","B08006_009E","B08006_009M","B08006_010E","B08006_010M","B08006_011E","B08006_011M","B08006_012E","B08006_012M","B08006_013E","B08006_013M","B08006_014E","B08006_014M","B08006_015E","B08006_015M","B08006_016E","B08006_016M","B08006_017E","B08006_017M","B08006_018E","B08006_018M","B08006_019E","B08006_019M","B08006_020E","B08006_020M","B08006_021E","B08006_021M","B08006_022E","B08006_022M","B08006_023E","B08006_023M","B08006_024E","B08006_024M","B08006_025E","B08006_025M","B08006_026E","B08006_026M","B08006_027E","B08006_027M","B08006_028E","B08006_028M","B08006_029E","B08006_029M","B08006_030E","B08006_030M","B08006_031E","B08006_031M","B08006_032E","B08006_032M","B08006_033E","B08006_033M","B08006_034E","B08006_034M","B08006_035E","B08006_035M","B08006_036E","B08006_036M","B08006_037E","B08006_037M","B08006_038E","B08006_038M","B08006_039E","B08006_039M","B08006_040E","B08006_040M","B08006_041E","B08006_041M","B08006_042E","B08006_042M","B08006_043E","B08006_043M","B08006_044E","B08006_044M","B08006_045E","B08006_045M","B08006_046E","B08006_046M","B08006_047E","B08006_047M","B08006_048E","B08006_048M","B08006_049E","B08006_049M","B08006_050E","B08006_050M","B08006_051E","B08006_051M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Car, truck, or van:","Margin of Error!!Total:!!Car, truck, or van:","Estimate!!Total:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Margin of Error!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Estimate!!Total:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Bicycle","Margin of Error!!Total:!!Bicycle","Estimate!!Total:!!Walked","Margin of Error!!Total:!!Walked","Estimate!!Total:!!Taxicab, motorcycle, or other means","Margin of Error!!Total:!!Taxicab, motorcycle, or other means","Estimate!!Total:!!Worked from home","Margin of Error!!Total:!!Worked from home","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Car, truck, or van:","Margin of Error!!Total:!!Male:!!Car, truck, or van:","Estimate!!Total:!!Male:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Male:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Margin of Error!!Total:!!Male:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Estimate!!Total:!!Male:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Male:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Male:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Male:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Male:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Male:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Male:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Male:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Male:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Male:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Male:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Male:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Male:!!Bicycle","Margin of Error!!Total:!!Male:!!Bicycle","Estimate!!Total:!!Male:!!Walked","Margin of Error!!Total:!!Male:!!Walked","Estimate!!Total:!!Male:!!Taxicab, motorcycle, or other means","Margin of Error!!Total:!!Male:!!Taxicab, motorcycle, or other means","Estimate!!Total:!!Male:!!Worked from home","Margin of Error!!Total:!!Male:!!Worked from home","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Car, truck, or van:","Margin of Error!!Total:!!Female:!!Car, truck, or van:","Estimate!!Total:!!Female:!!Car, truck, or van:!!Drove alone","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Drove alone","Estimate!!Total:!!Female:!!Car, truck, or van:!!Carpooled:","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Carpooled:","Estimate!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","Estimate!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","Estimate!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Margin of Error!!Total:!!Female:!!Car, truck, or van:!!Carpooled:!!In 4-or-more-person carpool","Estimate!!Total:!!Female:!!Public transportation (excluding taxicab):","Margin of Error!!Total:!!Female:!!Public transportation (excluding taxicab):","Estimate!!Total:!!Female:!!Public transportation (excluding taxicab):!!Bus","Margin of Error!!Total:!!Female:!!Public transportation (excluding taxicab):!!Bus","Estimate!!Total:!!Female:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Margin of Error!!Total:!!Female:!!Public transportation (excluding taxicab):!!Subway or elevated rail","Estimate!!Total:!!Female:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Margin of Error!!Total:!!Female:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","Estimate!!Total:!!Female:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Margin of Error!!Total:!!Female:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","Estimate!!Total:!!Female:!!Public transportation (excluding taxicab):!!Ferryboat","Margin of Error!!Total:!!Female:!!Public transportation (excluding taxicab):!!Ferryboat","Estimate!!Total:!!Female:!!Bicycle","Margin of Error!!Total:!!Female:!!Bicycle","Estimate!!Total:!!Female:!!Walked","Margin of Error!!Total:!!Female:!!Walked","Estimate!!Total:!!Female:!!Taxicab, motorcycle, or other means","Margin of Error!!Total:!!Female:!!Taxicab, motorcycle, or other means","Estimate!!Total:!!Female:!!Worked from home","Margin of Error!!Total:!!Female:!!Worked from home",
"1600000US0600135","Acalanes Ridge CDP, California","491","193","267","134","267","134","0","14","0","14","0","14","0","14","23","35","0","14","23","35","0","14","0","14","0","14","0","14","48","57","4","10","149","92","229","90","106","74","106","74","0","14","0","14","0","14","0","14","23","35","0","14","23","35","0","14","0","14","0","14","0","14","0","14","4","10","96","69","262","116","161","82","161","82","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","48","57","0","14","53","42",
"1600000US0600156","Acampo CDP, California","133","127","133","127","133","127","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","44","65","44","65","44","65","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","89","111","89","111","89","111","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0600212","Acton CDP, California","3340","438","2595","436","2285","405","310","133","203","109","23","30","84","80","69","71","42","67","0","19","14","16","13","20","0","19","0","19","19","22","54","53","603","182","1976","283","1572","292","1446","272","126","91","42","38","0","19","84","80","47","68","42","67","0","19","5","8","0","19","0","19","0","19","6","11","27","32","324","118","1364","275","1023","258","839","238","184","98","161","97","23","30","0","19","22","25","0","19","0","19","9","14","13","20","0","19","0","19","13","20","27","44","279","123",
"1600000US0600296","Adelanto city, California","12645","641","11617","642","10032","663","1585","424","905","316","379","200","301","189","78","145","78","145","0","29","0","29","0","29","0","29","0","29","51","52","200","97","699","243","7013","563","6606","565","5670","522","936","244","568","213","330","174","38","61","0","29","0","29","0","29","0","29","0","29","0","29","0","29","29","39","160","101","218","123","5632","602","5011","579","4362","598","649","273","337","159","49","58","263","181","78","145","78","145","0","29","0","29","0","29","0","29","0","29","22","35","40","46","481","198",
"1600000US0600310","Adin CDP, California","38","51","26","36","26","36","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","9","15","0","14","3","11","12","19","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","9","15","0","14","3","11","26","36","26","36","26","36","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0600394","Agoura Hills city, California","9275","543","6541","540","6134","516","407","183","225","141","20","26","162","104","14","23","14","23","0","21","0","21","0","21","0","21","43","64","74","66","105","105","2498","472","4940","401","3598","377","3430","356","168","93","120","81","0","21","48","44","14","23","14","23","0","21","0","21","0","21","0","21","0","21","44","44","45","52","1239","281","4335","378","2943","335","2704","327","239","138","105","83","20","26","114","83","0","21","0","21","0","21","0","21","0","21","0","21","43","64","30","33","60","93","1259","282",
"1600000US0600450","Agua Dulce CDP, California","1337","272","994","246","921","236","73","61","43","49","17","21","13","20","0","14","0","14","0","14","0","14","0","14","0","14","0","14","78","95","30","36","235","97","722","171","537","154","512","148","25","28","12","18","0","14","13","20","0","14","0","14","0","14","0","14","0","14","0","14","0","14","45","56","7","12","133","81","615","166","457","145","409","144","48","53","31","47","17","21","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","33","41","23","35","102","50",
"1600000US0600464","Aguanga CDP, California","238","154","169","135","147","118","22","34","22","34","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","1","10","0","14","68","65","136","97","67","69","45","40","22","34","22","34","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","1","10","0","14","68","65","102","104","102","104","102","104","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14",
"1600000US0600478","Ahwahnee CDP, California","437","178","286","157","236","142","50","63","37","57","0","14","13","25","0","14","0","14","0","14","0","14","0","14","0","14","0","14","40","63","36","56","75","60","184","96","107","74","90","67","17","27","4","9","0","14","13","25","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","36","56","41","34","253","127","179","113","146","108","33","54","33","54","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","40","63","0","14","34","32",
